layer,head,a_电脑,a_纸箱,b_电脑,b_纸箱,a_margin_c1_minus_c2,b_margin_c1_minus_c2,delta_margin
6,19,0.94921875,0.005889892578125,0.94921875,0.00469970703125,0.943328857421875,0.94451904296875,0.001190185546875
6,20,0.7734375,0.051513671875,0.6171875,0.1044921875,0.721923828125,0.5126953125,-0.209228515625
6,21,0.7734375,0.0096435546875,0.6328125,0.011962890625,0.7637939453125,0.620849609375,-0.1429443359375
6,22,0.2216796875,0.003173828125,0.171875,0.0074462890625,0.218505859375,0.1644287109375,-0.0540771484375
6,23,0.6328125,0.0031585693359375,0.546875,0.0025634765625,0.6296539306640625,0.5443115234375,-0.0853424072265625
6,24,0.494140625,0.0211181640625,0.53515625,0.028076171875,0.4730224609375,0.507080078125,0.0340576171875
6,25,0.6328125,0.001739501953125,0.6484375,0.00592041015625,0.631072998046875,0.64251708984375,0.011444091796875
6,26,0.458984375,0.013916015625,0.31640625,0.0103759765625,0.445068359375,0.3060302734375,-0.1390380859375
6,27,0.4921875,0.0125732421875,0.453125,0.0162353515625,0.4796142578125,0.4368896484375,-0.042724609375
7,0,0.255859375,0.11328125,0.125,0.146484375,0.142578125,-0.021484375,-0.1640625
7,1,0.625,0.1455078125,0.5703125,0.1826171875,0.4794921875,0.3876953125,-0.091796875
7,2,0.369140625,0.007537841796875,0.33203125,0.01116943359375,0.361602783203125,0.32086181640625,-0.040740966796875
7,3,0.38671875,0.04541015625,0.333984375,0.059814453125,0.34130859375,0.274169921875,-0.067138671875
7,4,0.373046875,0.00482177734375,0.341796875,0.0062255859375,0.36822509765625,0.3355712890625,-0.03265380859375
7,5,0.55859375,0.00579833984375,0.30859375,0.01495361328125,0.55279541015625,0.29364013671875,-0.2591552734375
7,6,0.412109375,0.07861328125,0.3984375,0.0859375,0.33349609375,0.3125,-0.02099609375
7,7,0.5625,0.01092529296875,0.44921875,0.00927734375,0.55157470703125,0.43994140625,-0.11163330078125
7,8,0.373046875,0.05322265625,0.322265625,0.083984375,0.31982421875,0.23828125,-0.08154296875
7,9,0.33203125,0.1494140625,0.1787109375,0.23828125,0.1826171875,-0.0595703125,-0.2421875
7,10,0.79296875,0.0086669921875,0.7421875,0.013916015625,0.7843017578125,0.728271484375,-0.0560302734375
7,11,0.453125,0.00640869140625,0.408203125,0.00640869140625,0.44671630859375,0.40179443359375,-0.044921875
7,12,0.54296875,0.01324462890625,0.498046875,0.01495361328125,0.52972412109375,0.48309326171875,-0.046630859375
7,13,0.1640625,0.028076171875,0.150390625,0.037109375,0.135986328125,0.11328125,-0.022705078125
7,14,0.5625,0.041259765625,0.62109375,0.0380859375,0.521240234375,0.5830078125,0.061767578125
7,15,0.96484375,0.0072021484375,0.95703125,0.00946044921875,0.9576416015625,0.94757080078125,-0.01007080078125
7,16,0.462890625,0.0233154296875,0.330078125,0.037353515625,0.4395751953125,0.292724609375,-0.1468505859375
7,17,0.921875,0.0234375,0.8828125,0.035888671875,0.8984375,0.846923828125,-0.051513671875
7,18,0.59765625,0.177734375,0.4375,0.1796875,0.419921875,0.2578125,-0.162109375
7,19,0.89453125,0.03662109375,0.890625,0.03271484375,0.85791015625,0.85791015625,0.0
7,20,0.52734375,0.01806640625,0.498046875,0.0194091796875,0.50927734375,0.4786376953125,-0.0306396484375
7,21,0.53125,0.10888671875,0.443359375,0.11474609375,0.42236328125,0.32861328125,-0.09375
7,22,0.69140625,0.013671875,0.6640625,0.01214599609375,0.677734375,0.65191650390625,-0.02581787109375
7,23,0.98046875,0.004669189453125,0.9765625,0.003997802734375,0.975799560546875,0.972564697265625,-0.00323486328125
7,24,0.36328125,0.01153564453125,0.353515625,0.0111083984375,0.35174560546875,0.3424072265625,-0.00933837890625
7,25,0.92578125,0.0218505859375,0.89453125,0.0283203125,0.9039306640625,0.8662109375,-0.0377197265625
7,26,0.58984375,0.0673828125,0.546875,0.046875,0.5224609375,0.5,-0.0224609375
7,27,0.84375,0.00860595703125,0.8359375,0.00860595703125,0.83514404296875,0.82733154296875,-0.0078125
8,0,0.55859375,0.1181640625,0.5234375,0.12109375,0.4404296875,0.40234375,-0.0380859375
8,1,0.3671875,0.01483154296875,0.46875,0.01226806640625,0.35235595703125,0.45648193359375,0.1041259765625
8,2,0.625,0.087890625,0.609375,0.0693359375,0.537109375,0.5400390625,0.0029296875
8,3,0.7109375,0.04931640625,0.6640625,0.04345703125,0.66162109375,0.62060546875,-0.041015625
8,4,0.76171875,0.0361328125,0.78515625,0.020263671875,0.7255859375,0.764892578125,0.039306640625
8,5,0.72265625,0.0751953125,0.8671875,0.026611328125,0.6474609375,0.840576171875,0.193115234375
8,6,0.296875,0.015625,0.17578125,0.05126953125,0.28125,0.12451171875,-0.15673828125
8,7,0.1484375,0.455078125,0.1337890625,0.4375,-0.306640625,-0.3037109375,0.0029296875
8,8,0.1572265625,0.06005859375,0.10693359375,0.0299072265625,0.09716796875,0.0770263671875,-0.0201416015625
8,9,0.2158203125,0.181640625,0.2177734375,0.29296875,0.0341796875,-0.0751953125,-0.109375
8,10,0.287109375,0.20703125,0.2197265625,0.1474609375,0.080078125,0.072265625,-0.0078125
8,11,0.45703125,0.051513671875,0.26953125,0.072265625,0.405517578125,0.197265625,-0.208251953125
8,12,0.04931640625,0.26171875,0.04443359375,0.1953125,-0.21240234375,-0.15087890625,0.0615234375
8,13,0.466796875,0.1318359375,0.41015625,0.08984375,0.3349609375,0.3203125,-0.0146484375
8,14,0.49609375,0.00830078125,0.302734375,0.004425048828125,0.48779296875,0.298309326171875,-0.189483642578125
8,15,0.56640625,0.019287109375,0.357421875,0.01220703125,0.547119140625,0.34521484375,-0.201904296875
8,16,0.53515625,0.005859375,0.4375,0.00323486328125,0.529296875,0.43426513671875,-0.09503173828125
8,17,0.80078125,0.0150146484375,0.66796875,0.020751953125,0.7857666015625,0.647216796875,-0.1385498046875
